order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,delivery_status,shipping_cost
37,Ekart,TRK3807017656,2023-07-20,2023-07-24,2023-07-26,Delivered,56.13
38,BlueDart,TRK3600412577,2022-08-04,2022-08-08,2022-08-07,Delivered,215.9
40,DTDC,TRK7118372742,2023-10-14,2023-10-17,2023-10-17,Delivered,119.85
42,BlueDart,TRK2091241862,2023-05-09,2023-05-16,2023-05-15,Delivered,233.22
43,DTDC,TRK1042752308,2024-06-12,2024-06-16,,Shipped,180.6
44,Ekart,TRK3708164709,2023-01-05,2023-01-11,,Shipped,57.91
45,BlueDart,TRK0063353310,2022-03-31,2022-04-03,2022-04-06,Delivered,159.25
46,FedEx India,TRK6005313122,2022-06-21,2022-06-28,,Shipped,208.89
47,DTDC,TRK0681558393,2023-11-26,2023-12-01,,Shipped,217.87
48,DTDC,TRK8661331552,2022-04-22,2022-04-29,2022-04-29,Delivered,226.56
49,Delhivery,TRK0650637314,2023-06-18,2023-06-25,2023-06-28,Delivered,180.51
50,BlueDart,TRK9501364971,2023-01-21,2023-01-24,2023-01-23,Delivered,86.29
51,FedEx India,TRK8924195625,2022-06-06,2022-06-09,2022-06-09,Delivered,198.68
53,Ekart,TRK2571509976,2024-01-19,2024-01-22,2024-01-25,Delivered,173.03
54,Delhivery,TRK8389030914,2022-08-01,2022-08-06,2022-08-05,Delivered,186.46
55,DTDC,TRK3639102574,2024-01-11,2024-01-16,,Shipped,173.6
56,DTDC,TRK3263039752,2024-04-12,2024-04-15,,Shipped,105.04
57,BlueDart,TRK4508640355,2022-04-23,2022-04-30,,Shipped,115.84
58,DTDC,TRK3380339685,2022-09-10,2022-09-15,2022-09-14,Delivered,209.4
60,FedEx India,TRK2701713023,2022-07-10,2022-07-13,2022-07-14,Delivered,178.72
61,BlueDart,TRK2129833816,2024-01-28,2024-02-04,,Shipped,84.66
62,Ekart,TRK7423362934,2023-02-04,2023-02-07,2023-02-08,Delivered,209.96
64,Delhivery,TRK4973471566,2024-06-13,2024-06-18,2024-06-19,Delivered,139.5
65,BlueDart,TRK2776896270,2022-04-29,2022-05-04,2022-05-06,Delivered,165.93
66,DTDC,TRK6614982824,2022-11-19,2022-11-24,2022-11-23,Delivered,86.72
67,FedEx India,TRK6747468971,2022-12-25,2022-12-30,2023-01-02,Delivered,171.75
68,Delhivery,TRK5273230085,2023-11-24,2023-11-30,,Shipped,40.78
69,Delhivery,TRK7666567491,2022-03-29,2022-04-05,,Shipped,62.37
70,DTDC,TRK6016923645,2022-05-02,2022-05-09,2022-05-10,Delivered,58.68
71,BlueDart,TRK8750663370,2023-03-07,2023-03-10,2023-03-09,Delivered,215.03
72,DTDC,TRK5024972439,2023-05-15,2023-05-19,,Shipped,129.59
73,FedEx India,TRK9201166918,2022-06-29,2022-07-03,2022-07-02,Delivered,187.59
75,DTDC,TRK3626448869,2022-01-11,2022-01-16,2022-01-18,Delivered,234.35
76,FedEx India,TRK4611952436,2023-07-31,2023-08-03,2023-08-02,Delivered,57.05
77,Ekart,TRK4027011686,2023-03-05,2023-03-11,,Shipped,175.24
78,DTDC,TRK4622522372,2023-08-04,2023-08-07,2023-08-07,Delivered,107.65
79,Ekart,TRK8179323023,2022-08-20,2022-08-26,2022-08-27,Delivered,44.48
81,FedEx India,TRK4679121416,2023-08-12,2023-08-17,2023-08-20,Delivered,124.0
83,FedEx India,TRK1415093771,2023-07-16,2023-07-23,2023-07-25,Delivered,202.73
85,FedEx India,TRK0040901380,2023-04-09,2023-04-16,2023-04-17,Delivered,146.84
87,Delhivery,TRK6984775965,2023-12-08,2023-12-14,2023-12-13,Delivered,228.62
88,BlueDart,TRK5553566905,2022-06-21,2022-06-24,,Shipped,45.32
89,DTDC,TRK5107620918,2022-03-04,2022-03-10,2022-03-09,Delivered,198.23
90,Ekart,TRK4357978630,2022-06-24,2022-06-28,2022-06-30,Delivered,105.77
92,BlueDart,TRK5050573976,2024-04-17,2024-04-21,2024-04-21,Delivered,211.33
93,BlueDart,TRK9156716493,2024-06-08,2024-06-15,,Shipped,61.69
94,DTDC,TRK2898027148,2022-06-01,2022-06-04,,Shipped,160.48
95,Delhivery,TRK7271783332,2023-02-08,2023-02-11,2023-02-12,Delivered,169.38
96,Ekart,TRK1160256434,2023-03-02,2023-03-07,2023-03-08,Delivered,101.68
97,Delhivery,TRK7128715399,2024-02-29,2024-03-07,2024-03-09,Delivered,134.03
98,FedEx India,TRK1566863341,2024-06-18,2024-06-22,2024-06-25,Delivered,103.64
100,Ekart,TRK4111593195,2023-04-18,2023-04-24,,Shipped,246.83
101,BlueDart,TRK2569040983,2024-03-27,2024-03-31,2024-03-31,Delivered,159.18
102,Ekart,TRK6655289931,2022-08-07,2022-08-10,2022-08-10,Delivered,192.65
103,FedEx India,TRK6087524377,2023-07-16,2023-07-19,2023-07-18,Delivered,105.33
106,Ekart,TRK2942095481,2022-06-14,2022-06-18,2022-06-20,Delivered,171.57
109,FedEx India,TRK4973746052,2022-09-15,2022-09-21,2022-09-20,Delivered,241.02
110,DTDC,TRK3302764208,2022-02-25,2022-03-03,2022-03-03,Delivered,61.79
111,Delhivery,TRK6567566184,2022-08-29,2022-09-05,2022-09-06,Delivered,200.3
112,Delhivery,TRK4386125904,2022-08-09,2022-08-16,2022-08-18,Delivered,190.71
113,DTDC,TRK7292774233,2023-11-29,2023-12-06,2023-12-07,Delivered,217.62
115,DTDC,TRK3059126620,2022-03-16,2022-03-20,2022-03-23,Delivered,72.22
116,BlueDart,TRK1572018596,2022-04-19,2022-04-25,2022-04-28,Delivered,135.18
118,Delhivery,TRK2630136749,2022-05-29,2022-06-01,2022-06-01,Delivered,97.43
119,BlueDart,TRK2617647501,2022-06-19,2022-06-25,2022-06-28,Delivered,122.01
121,BlueDart,TRK1117830999,2022-08-13,2022-08-16,2022-08-17,Delivered,116.41
122,DTDC,TRK7419267649,2023-08-29,2023-09-02,,Shipped,213.2
123,BlueDart,TRK2151826068,2024-03-24,2024-03-28,2024-03-27,Delivered,224.98
124,DTDC,TRK8871898131,2023-07-23,2023-07-27,,Shipped,111.19
125,Ekart,TRK2920875102,2023-12-12,2023-12-19,2023-12-22,Delivered,168.59
126,Delhivery,TRK9321840118,2023-06-17,2023-06-23,,Shipped,103.47
127,BlueDart,TRK4582603408,2023-10-27,2023-11-03,2023-11-06,Delivered,134.05
128,Delhivery,TRK4872975859,2022-09-06,2022-09-11,2022-09-12,Delivered,142.06
130,DTDC,TRK8831030324,2024-05-12,2024-05-16,2024-05-17,Delivered,178.9
131,DTDC,TRK3298395429,2024-02-24,2024-02-27,2024-03-01,Delivered,246.97
132,Delhivery,TRK6184462671,2022-01-18,2022-01-25,2022-01-25,Delivered,116.04
133,Delhivery,TRK4628314359,2024-03-22,2024-03-25,2024-03-26,Delivered,45.01
134,BlueDart,TRK8926256609,2024-02-27,2024-03-01,2024-02-29,Delivered,50.06
135,DTDC,TRK3141818615,2023-07-05,2023-07-08,2023-07-07,Delivered,211.78
136,DTDC,TRK1554234016,2022-03-23,2022-03-29,2022-03-28,Delivered,217.68
137,FedEx India,TRK3611284971,2023-07-05,2023-07-12,2023-07-13,Delivered,205.43
138,BlueDart,TRK8594849102,2023-10-31,2023-11-07,,Shipped,57.2
140,FedEx India,TRK5625889679,2023-03-22,2023-03-25,2023-03-24,Delivered,181.24
141,Delhivery,TRK2408222694,2023-11-17,2023-11-21,,Shipped,177.58
142,FedEx India,TRK0539672757,2023-12-29,2024-01-03,2024-01-05,Delivered,214.76
143,Delhivery,TRK8446834146,2022-12-23,2022-12-30,2023-01-01,Delivered,140.39
144,Ekart,TRK5111312901,2022-05-13,2022-05-17,,Shipped,55.45
146,DTDC,TRK4870682778,2023-06-24,2023-06-29,2023-07-02,Delivered,66.22
147,Ekart,TRK8160930685,2022-03-23,2022-03-27,2022-03-29,Delivered,219.78
148,Delhivery,TRK3890972832,2024-05-31,2024-06-06,2024-06-05,Delivered,167.24
150,Delhivery,TRK1528506762,2024-01-30,2024-02-06,2024-02-09,Delivered,68.6
151,FedEx India,TRK5153814474,2022-09-09,2022-09-15,2022-09-15,Delivered,197.64
153,BlueDart,TRK4309634807,2024-01-05,2024-01-11,,Shipped,212.61
155,Delhivery,TRK9705097545,2023-08-11,2023-08-17,2023-08-16,Delivered,174.0
156,BlueDart,TRK1052650167,2022-07-04,2022-07-08,2022-07-08,Delivered,126.83
157,FedEx India,TRK3188261702,2023-02-18,2023-02-24,2023-02-27,Delivered,90.13
158,DTDC,TRK4376545628,2024-05-16,2024-05-21,2024-05-24,Delivered,164.12
159,Delhivery,TRK4177225605,2023-01-15,2023-01-21,2023-01-22,Delivered,43.14
160,FedEx India,TRK3134026650,2023-10-01,2023-10-05,2023-10-08,Delivered,179.95
162,Delhivery,TRK2374167872,2024-03-29,2024-04-02,2024-04-02,Delivered,245.28
163,BlueDart,TRK5686211022,2022-08-30,2022-09-03,2022-09-05,Delivered,209.06
165,Delhivery,TRK5803056906,2024-05-20,2024-05-26,,Shipped,226.49
166,FedEx India,TRK7447163928,2022-09-03,2022-09-10,2022-09-11,Delivered,167.05
167,Ekart,TRK2341436371,2024-01-02,2024-01-07,2024-01-07,Delivered,236.62
168,Ekart,TRK8923923126,2024-05-16,2024-05-23,2024-05-25,Delivered,199.94
169,Delhivery,TRK0432609310,2024-02-07,2024-02-14,2024-02-15,Delivered,199.63
170,BlueDart,TRK6684335670,2024-04-22,2024-04-28,2024-05-01,Delivered,131.35
173,Delhivery,TRK8604145456,2022-12-02,2022-12-05,2022-12-06,Delivered,204.46
174,FedEx India,TRK3502000534,2022-07-28,2022-07-31,2022-08-02,Delivered,94.08
175,DTDC,TRK7491624755,2022-06-21,2022-06-28,2022-06-27,Delivered,107.3
180,Ekart,TRK4110825559,2023-01-02,2023-01-05,2023-01-06,Delivered,106.63
182,Delhivery,TRK8953439611,2023-04-12,2023-04-15,2023-04-17,Delivered,186.71
185,BlueDart,TRK2910933711,2023-02-17,2023-02-24,2023-02-26,Delivered,235.1
186,Delhivery,TRK8954738202,2023-08-21,2023-08-26,2023-08-29,Delivered,60.57
189,DTDC,TRK3684855716,2023-04-19,2023-04-24,2023-04-26,Delivered,240.28
190,DTDC,TRK1768802942,2023-02-10,2023-02-13,2023-02-15,Delivered,77.5
191,Ekart,TRK4090367881,2022-12-31,2023-01-03,2023-01-03,Delivered,70.61
192,BlueDart,TRK2786866943,2024-06-26,2024-07-01,2024-06-30,Delivered,152.39
193,FedEx India,TRK2029390878,2023-10-26,2023-11-02,2023-11-03,Delivered,112.39
194,Delhivery,TRK8443448123,2022-03-07,2022-03-14,2022-03-16,Delivered,138.37
197,Ekart,TRK0834024240,2023-05-10,2023-05-16,2023-05-19,Delivered,81.07
198,BlueDart,TRK3381059551,2023-06-01,2023-06-08,2023-06-09,Delivered,200.36
199,Ekart,TRK8426945005,2023-09-07,2023-09-11,2023-09-12,Delivered,191.16
200,Delhivery,TRK3424089164,2023-06-30,2023-07-03,2023-07-02,Delivered,53.52
201,FedEx India,TRK9837354396,2022-06-15,2022-06-21,2022-06-20,Delivered,85.87
203,DTDC,TRK2736527172,2022-08-15,2022-08-19,2022-08-20,Delivered,122.52
204,FedEx India,TRK7223972404,2024-05-17,2024-05-20,2024-05-19,Delivered,73.67
205,BlueDart,TRK2269312163,2024-01-28,2024-02-01,,Shipped,83.11
208,Delhivery,TRK7618209166,2023-05-19,2023-05-26,2023-05-25,Delivered,115.91
209,Delhivery,TRK0100231429,2022-01-22,2022-01-29,2022-01-29,Delivered,161.39
212,FedEx India,TRK0018513279,2023-08-27,2023-09-01,,Shipped,248.79
214,Delhivery,TRK7245723084,2023-11-11,2023-11-18,2023-11-20,Delivered,86.87
217,FedEx India,TRK8100184186,2023-07-31,2023-08-03,,Shipped,226.47
218,DTDC,TRK2030366254,2023-11-16,2023-11-20,2023-11-19,Delivered,76.07
219,Ekart,TRK3617213145,2023-12-08,2023-12-14,2023-12-15,Delivered,200.12
221,DTDC,TRK1951510922,2023-08-08,2023-08-13,2023-08-13,Delivered,78.62
222,BlueDart,TRK6859262494,2023-09-20,2023-09-23,2023-09-22,Delivered,169.61
223,Ekart,TRK5147541022,2022-05-28,2022-06-02,2022-06-02,Delivered,154.4
224,Delhivery,TRK5267711964,2022-06-24,2022-06-27,,Shipped,131.74
225,Delhivery,TRK2152265576,2023-10-19,2023-10-26,,Shipped,186.62
226,FedEx India,TRK7695236687,2022-08-06,2022-08-12,2022-08-13,Delivered,53.91
227,BlueDart,TRK8878836196,2022-04-24,2022-04-29,,Shipped,114.23
229,BlueDart,TRK8931350305,2022-12-29,2023-01-01,2022-12-31,Delivered,240.97
230,FedEx India,TRK8721055247,2024-06-04,2024-06-11,2024-06-10,Delivered,169.87
233,Delhivery,TRK2863330212,2023-01-22,2023-01-26,2023-01-26,Delivered,130.15
234,BlueDart,TRK6065019179,2022-04-07,2022-04-10,2022-04-09,Delivered,84.06
235,BlueDart,TRK2025213109,2022-02-03,2022-02-07,2022-02-07,Delivered,90.53
236,Delhivery,TRK6227284765,2023-03-22,2023-03-29,2023-03-29,Delivered,40.59
237,Ekart,TRK7041200928,2022-07-17,2022-07-22,2022-07-22,Delivered,224.2
238,FedEx India,TRK2066784984,2023-07-09,2023-07-15,2023-07-16,Delivered,209.44
239,FedEx India,TRK3624186236,2022-02-21,2022-02-27,2022-03-02,Delivered,69.72
240,DTDC,TRK9036289177,2022-02-26,2022-03-05,2022-03-04,Delivered,222.95
241,DTDC,TRK5662056341,2023-11-10,2023-11-13,,Shipped,128.63
242,Ekart,TRK1159503428,2022-08-03,2022-08-09,2022-08-12,Delivered,138.96
243,Ekart,TRK1139043830,2024-05-15,2024-05-19,2024-05-19,Delivered,220.21
244,BlueDart,TRK3419909700,2023-11-10,2023-11-15,2023-11-16,Delivered,53.5
246,FedEx India,TRK5140546835,2022-09-29,2022-10-02,2022-10-04,Delivered,122.1
247,Ekart,TRK6521568182,2023-08-03,2023-08-06,2023-08-05,Delivered,184.01
248,Ekart,TRK0967904227,2023-11-18,2023-11-23,2023-11-26,Delivered,45.77
249,Delhivery,TRK1133228898,2023-08-30,2023-09-02,2023-09-04,Delivered,125.52
250,FedEx India,TRK5725459606,2023-06-23,2023-06-29,2023-06-29,Delivered,148.3
251,BlueDart,TRK3399129710,2023-05-03,2023-05-08,2023-05-07,Delivered,64.99
256,DTDC,TRK2481717524,2023-12-03,2023-12-06,2023-12-09,Delivered,242.51
257,Delhivery,TRK2149551127,2022-09-25,2022-10-02,2022-10-04,Delivered,60.73
258,Ekart,TRK4747219705,2022-04-01,2022-04-06,2022-04-06,Delivered,188.75
259,FedEx India,TRK4669275895,2022-10-11,2022-10-15,2022-10-15,Delivered,67.96
260,Delhivery,TRK5168740903,2023-08-26,2023-08-31,2023-09-03,Delivered,215.87
261,Ekart,TRK8021462961,2022-06-03,2022-06-09,2022-06-10,Delivered,89.35
264,Ekart,TRK3671577871,2023-01-31,2023-02-03,,Shipped,240.48
265,Delhivery,TRK1216636515,2022-06-28,2022-07-04,2022-07-04,Delivered,237.07
266,BlueDart,TRK5973714708,2023-12-15,2023-12-20,2023-12-19,Delivered,202.03
267,Ekart,TRK2723590960,2023-12-10,2023-12-15,2023-12-15,Delivered,211.58
268,FedEx India,TRK5673030644,2023-01-20,2023-01-26,2023-01-26,Delivered,137.23
270,Delhivery,TRK2121461476,2022-08-25,2022-09-01,2022-09-01,Delivered,124.39
271,BlueDart,TRK8342016542,2022-11-26,2022-12-02,2022-12-03,Delivered,151.62
272,Ekart,TRK3567782659,2022-07-13,2022-07-16,2022-07-17,Delivered,230.78
274,FedEx India,TRK6089319925,2022-03-12,2022-03-19,2022-03-18,Delivered,188.41
275,Ekart,TRK5027275164,2024-05-23,2024-05-26,2024-05-29,Delivered,130.67
278,Delhivery,TRK8072791033,2024-04-24,2024-04-28,2024-05-01,Delivered,248.25
279,Ekart,TRK6829635339,2023-12-01,2023-12-06,2023-12-07,Delivered,178.76
281,Ekart,TRK0550448177,2022-12-22,2022-12-26,2022-12-25,Delivered,108.46
282,DTDC,TRK6655868512,2022-04-06,2022-04-12,2022-04-14,Delivered,107.45
284,BlueDart,TRK7652892866,2022-08-22,2022-08-29,,Shipped,246.34
286,FedEx India,TRK4649111109,2022-05-17,2022-05-21,,Shipped,204.9
287,Ekart,TRK6179817890,2022-09-19,2022-09-23,,Shipped,43.85
288,DTDC,TRK4633786137,2023-10-23,2023-10-29,2023-10-31,Delivered,244.03
289,DTDC,TRK1576605384,2022-09-18,2022-09-23,2022-09-22,Delivered,58.43
290,Ekart,TRK4446306000,2023-10-02,2023-10-09,2023-10-12,Delivered,245.57
292,BlueDart,TRK2589552963,2022-10-20,2022-10-27,2022-10-29,Delivered,231.43
293,Delhivery,TRK8639609626,2022-10-12,2022-10-17,,Shipped,178.45
294,FedEx India,TRK2658263128,2023-10-31,2023-11-03,2023-11-03,Delivered,82.3
296,FedEx India,TRK1964825311,2023-12-02,2023-12-08,2023-12-07,Delivered,41.63
298,BlueDart,TRK0609209819,2023-08-22,2023-08-27,,Shipped,136.29
299,FedEx India,TRK6027523343,2024-01-15,2024-01-22,,Shipped,173.48
301,DTDC,TRK8364041209,2024-05-18,2024-05-25,2024-05-25,Delivered,41.48
302,Delhivery,TRK1179112442,2022-10-30,2022-11-05,2022-11-04,Delivered,195.5
303,DTDC,TRK1175361706,2024-04-10,2024-04-17,2024-04-20,Delivered,198.57
304,BlueDart,TRK1713665722,2022-12-13,2022-12-20,,Shipped,66.6
305,Delhivery,TRK4029901557,2024-06-14,2024-06-19,2024-06-21,Delivered,236.36
306,FedEx India,TRK9980284139,2022-10-30,2022-11-06,2022-11-08,Delivered,197.12
307,FedEx India,TRK0808823513,2023-10-15,2023-10-20,2023-10-20,Delivered,147.81
308,BlueDart,TRK0523124473,2022-07-22,2022-07-29,2022-07-31,Delivered,147.63
309,DTDC,TRK1584776863,2023-03-03,2023-03-08,2023-03-08,Delivered,243.52
310,FedEx India,TRK4234619942,2022-12-19,2022-12-23,2022-12-22,Delivered,189.47
311,FedEx India,TRK3767694591,2022-05-28,2022-05-31,2022-06-02,Delivered,89.81
312,Ekart,TRK9663955172,2023-05-17,2023-05-24,2023-05-27,Delivered,245.85
313,Ekart,TRK0849649856,2022-01-07,2022-01-12,2022-01-14,Delivered,183.64
315,BlueDart,TRK0125625313,2022-04-03,2022-04-08,2022-04-07,Delivered,218.5
317,Delhivery,TRK5525105053,2022-07-26,2022-08-01,,Shipped,162.12
318,Ekart,TRK7953816493,2024-05-06,2024-05-12,2024-05-12,Delivered,120.98
319,Ekart,TRK8318491966,2024-01-24,2024-01-28,2024-01-29,Delivered,201.4
320,Ekart,TRK5533077046,2022-05-16,2022-05-19,2022-05-21,Delivered,46.51
322,FedEx India,TRK1172959639,2024-01-17,2024-01-22,2024-01-25,Delivered,176.97
325,FedEx India,TRK0409074260,2024-04-12,2024-04-19,2024-04-22,Delivered,109.17
326,FedEx India,TRK8805017164,2022-08-08,2022-08-11,,Shipped,137.03
327,Ekart,TRK4556185790,2023-01-14,2023-01-21,,Shipped,242.89
329,Delhivery,TRK6477159103,2023-11-12,2023-11-17,2023-11-19,Delivered,146.55
330,FedEx India,TRK0021563213,2023-03-06,2023-03-12,2023-03-13,Delivered,127.49
331,Delhivery,TRK5800401041,2023-12-21,2023-12-27,2023-12-29,Delivered,150.51
332,Delhivery,TRK4596422971,2022-11-07,2022-11-10,2022-11-12,Delivered,216.61
333,BlueDart,TRK2529671883,2023-10-01,2023-10-07,,Shipped,176.95
334,BlueDart,TRK9774573144,2022-04-21,2022-04-27,2022-04-29,Delivered,241.03
335,BlueDart,TRK1583311703,2024-03-17,2024-03-21,2024-03-22,Delivered,178.09
337,FedEx India,TRK0376371539,2022-11-01,2022-11-08,2022-11-11,Delivered,85.76
339,FedEx India,TRK8854728123,2023-11-20,2023-11-24,2023-11-24,Delivered,81.45
340,Delhivery,TRK5679836314,2023-05-23,2023-05-28,2023-05-27,Delivered,89.62
341,Ekart,TRK6249127113,2024-01-13,2024-01-20,,Shipped,163.45
342,BlueDart,TRK0724078754,2022-11-01,2022-11-08,2022-11-09,Delivered,183.24
343,Delhivery,TRK1815632686,2024-06-17,2024-06-21,2024-06-21,Delivered,58.27
344,DTDC,TRK8507451066,2022-11-20,2022-11-26,2022-11-27,Delivered,81.07
345,Ekart,TRK3436294897,2024-07-01,2024-07-06,2024-07-07,Delivered,209.86
346,BlueDart,TRK8610313100,2022-12-06,2022-12-12,2022-12-12,Delivered,95.12
347,Delhivery,TRK9431814396,2024-06-19,2024-06-23,,Shipped,243.4
348,DTDC,TRK6613473235,2022-04-29,2022-05-05,2022-05-07,Delivered,55.72
350,Ekart,TRK4940128974,2022-06-23,2022-06-28,2022-06-27,Delivered,162.88
351,BlueDart,TRK3251225720,2024-05-16,2024-05-21,2024-05-22,Delivered,185.92
352,DTDC,TRK7650241209,2024-04-02,2024-04-05,2024-04-04,Delivered,126.33
353,Ekart,TRK5790737100,2024-03-10,2024-03-13,2024-03-13,Delivered,127.8
354,DTDC,TRK9438822114,2024-05-10,2024-05-15,,Shipped,158.36
356,FedEx India,TRK5775847457,2023-11-04,2023-11-07,2023-11-07,Delivered,62.63
357,Delhivery,TRK0545897148,2024-02-26,2024-03-04,,Shipped,59.58
359,DTDC,TRK0263257039,2023-09-28,2023-10-01,2023-10-03,Delivered,108.23
360,Delhivery,TRK6531361487,2022-12-24,2022-12-30,,Shipped,61.71
361,BlueDart,TRK8245569644,2024-04-27,2024-05-01,2024-05-04,Delivered,176.31
362,FedEx India,TRK3098591679,2022-06-12,2022-06-18,2022-06-19,Delivered,99.49
363,Ekart,TRK5410727284,2022-06-22,2022-06-27,2022-06-27,Delivered,180.95
364,Ekart,TRK9824741407,2022-10-14,2022-10-19,2022-10-20,Delivered,210.37
366,DTDC,TRK0349107406,2023-08-13,2023-08-18,2023-08-17,Delivered,66.47
367,DTDC,TRK5004254882,2023-05-26,2023-05-31,,Shipped,130.03
368,Ekart,TRK1423691430,2022-02-08,2022-02-14,2022-02-17,Delivered,167.2
370,Delhivery,TRK7536661449,2023-07-31,2023-08-04,2023-08-04,Delivered,142.51
373,DTDC,TRK4296592342,2023-01-11,2023-01-18,,Shipped,52.96
374,Delhivery,TRK6834414978,2022-08-17,2022-08-20,2022-08-23,Delivered,77.37
375,Delhivery,TRK2661287585,2024-04-01,2024-04-08,2024-04-10,Delivered,191.38
377,Delhivery,TRK7567667080,2024-02-02,2024-02-09,,Shipped,43.65
378,Ekart,TRK6129439852,2022-07-13,2022-07-16,2022-07-19,Delivered,133.27
379,FedEx India,TRK9894062607,2024-03-14,2024-03-17,2024-03-19,Delivered,61.88
381,BlueDart,TRK8701041591,2023-04-08,2023-04-14,2023-04-16,Delivered,44.99
382,Delhivery,TRK4975019803,2023-05-28,2023-05-31,2023-05-31,Delivered,48.12
384,FedEx India,TRK8287232440,2022-07-04,2022-07-08,,Shipped,93.1
385,Delhivery,TRK7931102918,2022-04-18,2022-04-24,2022-04-26,Delivered,165.82
388,FedEx India,TRK1331708760,2022-10-30,2022-11-05,2022-11-05,Delivered,192.9
391,Delhivery,TRK1467238497,2023-10-13,2023-10-17,2023-10-17,Delivered,198.53
392,DTDC,TRK9162022328,2023-12-08,2023-12-11,2023-12-14,Delivered,73.09
394,Ekart,TRK8377441975,2023-10-18,2023-10-25,2023-10-25,Delivered,63.62
395,Delhivery,TRK4661766204,2023-05-08,2023-05-11,2023-05-13,Delivered,57.86
398,Delhivery,TRK7196094097,2022-05-31,2022-06-03,2022-06-02,Delivered,228.52
399,DTDC,TRK0527740258,2024-03-16,2024-03-23,2024-03-23,Delivered,177.0
400,BlueDart,TRK8358681225,2024-05-12,2024-05-17,2024-05-17,Delivered,135.35
401,DTDC,TRK9572446176,2022-02-05,2022-02-10,2022-02-13,Delivered,157.53
402,DTDC,TRK7929884259,2023-11-26,2023-12-03,,Shipped,152.44
403,Delhivery,TRK9599610023,2023-02-04,2023-02-11,2023-02-11,Delivered,53.05
405,BlueDart,TRK1177533126,2023-12-04,2023-12-08,2023-12-11,Delivered,214.42
406,FedEx India,TRK6109410175,2022-09-16,2022-09-20,2022-09-22,Delivered,244.97
407,DTDC,TRK9025176298,2023-10-12,2023-10-17,,Shipped,94.32
408,Delhivery,TRK3347743326,2023-07-16,2023-07-23,,Shipped,161.71
409,FedEx India,TRK8319013020,2022-07-21,2022-07-26,2022-07-28,Delivered,125.75
411,Ekart,TRK5698152873,2022-02-13,2022-02-16,2022-02-18,Delivered,226.08
413,Ekart,TRK3978559821,2022-06-10,2022-06-14,2022-06-15,Delivered,232.53
414,DTDC,TRK7661912841,2023-10-04,2023-10-09,,Shipped,136.82
415,FedEx India,TRK1730985034,2023-08-13,2023-08-19,2023-08-20,Delivered,138.55
416,FedEx India,TRK4651241893,2023-06-26,2023-07-01,2023-06-30,Delivered,132.72
417,DTDC,TRK8984690819,2023-06-04,2023-06-10,2023-06-11,Delivered,140.5
418,FedEx India,TRK7400564350,2022-12-25,2022-12-31,2022-12-30,Delivered,69.88
419,Delhivery,TRK2385037199,2023-01-08,2023-01-15,2023-01-18,Delivered,135.29
421,BlueDart,TRK0516991872,2022-12-24,2022-12-29,2022-12-29,Delivered,123.77
424,Delhivery,TRK4010783567,2022-10-20,2022-10-24,2022-10-27,Delivered,207.3
426,DTDC,TRK4300038960,2023-11-01,2023-11-04,2023-11-06,Delivered,94.0
